Window,Objective,Selection Size,Model,Evaluation Count,Observed Count,Observed Rate,Random Rate,Expected Count,Lift,Rate CI Low,Rate CI High,Lift CI Low,Lift CI High,Exact p-value,Monte Carlo p-value,Mean Hit@4,Mean Hit@5,Mean Hit@6,q-value,Evidence Status
Last 25,NearPerfect,4,M4-C,25,2,0.08,0.046311283653055806,1.1577820913263952,1.7274407809406787,0.009839590018797513,0.2603058421052142,0.21246636332759603,5.620786589620652,0.3233804469650004,0.32065358692826146,1.16,,,0.6467608939300008,Insufficient tail sample
Last 25,NearPerfect,4,M4-D,25,1,0.04,0.046311283653055806,1.1577820913263952,0.8637203904703393,0.0010121996993108454,0.203516913922414,0.021856437988068085,4.394542709009646,0.6943910232411687,0.6927861442771145,1.08,,,0.79358974084705,Insufficient tail sample
Last 25,NearPerfect,4,M4-E,25,1,0.04,0.046311283653055806,1.1577820913263952,0.8637203904703393,0.0010121996993108454,0.203516913922414,0.021856437988068085,4.394542709009646,0.6943910232411687,0.6982860342793145,1.12,,,0.79358974084705,Insufficient tail sample
Last 25,NearPerfect,4,M4-F,25,3,0.12,0.046311283653055806,1.1577820913263952,2.591161171411018,0.025465396647733205,0.31219030728623537,0.5498745584015549,6.74112835275806,0.10718441895253904,0.10665786684266315,1.32,,,0.6467608939300008,Insufficient tail sample
Last 25,NearPerfect,4,M5,25,2,0.08,0.046311283653055806,1.1577820913263952,1.7274407809406787,0.009839590018797513,0.2603058421052142,0.21246636332759603,5.620786589620652,0.3233804469650004,0.3226535469290614,0.92,,,0.6467608939300008,Insufficient tail sample
Last 25,NearPerfect,4,M6,25,3,0.12,0.046311283653055806,1.1577820913263952,2.591161171411018,0.025465396647733205,0.31219030728623537,0.5498745584015549,6.74112835275806,0.10718441895253904,0.10813783724325514,1.16,,,0.6467608939300008,Insufficient tail sample
Last 25,NearPerfect,4,Ensemble,25,0,0.0,0.046311283653055806,1.1577820913263952,0.0,0.0,0.1371851715307125,0.0,2.9622407480311868,1.0,1.0,0.72,,,1.0,Insufficient tail sample
Last 25,NearPerfect,4,M7,25,0,0.0,0.046311283653055806,1.1577820913263952,0.0,0.0,0.1371851715307125,0.0,2.9622407480311868,1.0,1.0,1.16,,,1.0,Insufficient tail sample
Last 25,NearPerfect,4,M8,25,1,0.04,0.046311283653055806,1.1577820913263952,0.8637203904703393,0.0010121996993108454,0.203516913922414,0.021856437988068085,4.394542709009646,0.6943910232411687,0.6973860522789544,1.12,,,0.79358974084705,Insufficient tail sample
Last 25,NearPerfect,4,M9,25,1,0.04,0.046311283653055806,1.1577820913263952,0.8637203904703393,0.0010121996993108454,0.203516913922414,0.021856437988068085,4.394542709009646,0.6943910232411687,0.6937261254774905,1.08,,,0.79358974084705,Insufficient tail sample
