Window,Objective,Selection Size,Model,Evaluation Count,Observed Count,Observed Rate,Random Rate,Expected Count,Lift,Rate CI Low,Rate CI High,Lift CI Low,Lift CI High,Exact p-value,Monte Carlo p-value,Mean Hit@4,Mean Hit@5,Mean Hit@6,q-value,Evidence Status
Last 25,NearPerfect,5,M5,25,1,0.04,0.012737262737262736,0.3184315684315684,3.1403921568627453,0.0010121996993108454,0.203516913922414,0.0794675999223652,15.978073006771485,0.27419720149668037,0.27653446931061376,,1.16,,0.9596902052383813,Insufficient tail sample
Last 25,NearPerfect,5,M6,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.28,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,Ensemble,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.0,,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M1,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.68,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M2,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.24,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M3,25,1,0.04,0.003224623477788035,0.08061558694470088,12.404549019607842,0.0010121996993108454,0.203516913922414,0.3138970196933425,63.11338837674735,0.0775718981679859,0.07725845483090338,,,1.6,0.5430032871759013,Insufficient tail sample
Last 25,NearPerfect,6,M4,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.56,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M5,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.36,1.0,Insufficient tail sample
Last 25,NearPerfect,6,M6,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.56,1.0,Insufficient tail sample
Last 25,NearPerfect,6,Ensemble,25,0,0.0,0.003224623477788035,0.08061558694470088,0.0,0.0,0.1371851715307125,0.0,42.54300462540083,1.0,1.0,,,1.28,1.0,Insufficient tail sample
Last 50,Exact,4,M1,50,1,0.02,0.003063392303898633,0.15316961519493166,6.528710010319918,0.0005062279830408294,0.1064695457114999,0.16525078501913623,34.75543944404417,0.14221749709116163,0.14043719125617488,1.08,,,0.9955224796381315,Insufficient tail sample
Last 50,Exact,4,M2,50,0,0.0,0.003063392303898633,0.15316961519493166,0.0,0.0,0.07112173646419764,0.0,23.216659640257113,1.0,1.0,0.86,,,1.0,Insufficient tail sample
Last 50,Exact,4,M3,50,0,0.0,0.003063392303898633,0.15316961519493166,0.0,0.0,0.07112173646419764,0.0,23.216659640257113,1.0,1.0,0.94,,,1.0,Insufficient tail sample
Last 50,Exact,4,M4,50,0,0.0,0.003063392303898633,0.15316961519493166,0.0,0.0,0.07112173646419764,0.0,23.216659640257113,1.0,1.0,1.0,,,1.0,Insufficient tail sample
Last 50,Exact,4,M5,50,0,0.0,0.003063392303898633,0.15316961519493166,0.0,0.0,0.07112173646419764,0.0,23.216659640257113,1.0,1.0,1.1,,,1.0,Insufficient tail sample
Last 50,Exact,4,M6,50,0,0.0,0.003063392303898633,0.15316961519493166,0.0,0.0,0.07112173646419764,0.0,23.216659640257113,1.0,1.0,1.06,,,1.0,Insufficient tail sample
Last 50,Exact,4,Ensemble,50,0,0.0,0.003063392303898633,0.15316961519493166,0.0,0.0,0.07112173646419764,0.0,23.216659640257113,1.0,1.0,0.94,,,1.0,Insufficient tail sample
Last 50,Exact,5,M1,50,1,0.02,0.0006449246955576069,0.03224623477788034,31.01137254901961,0.0005062279830408294,0.1064695457114999,0.7849412288408971,165.08833735920982,0.03174194108620034,0.031479370412591745,,1.48,,0.22219358760340238,Insufficient tail sample
Last 50,Exact,5,M2,50,0,0.0,0.0006449246955576069,0.03224623477788034,0.0,0.0,0.07112173646419764,0.0,110.27913329122129,1.0,1.0,,1.06,,1.0,Insufficient tail sample
Last 50,Exact,5,M3,50,0,0.0,0.0006449246955576069,0.03224623477788034,0.0,0.0,0.07112173646419764,0.0,110.27913329122129,1.0,1.0,,1.16,,1.0,Insufficient tail sample
Last 50,Exact,5,M4,50,0,0.0,0.0006449246955576069,0.03224623477788034,0.0,0.0,0.07112173646419764,0.0,110.27913329122129,1.0,1.0,,1.16,,1.0,Insufficient tail sample
Last 50,Exact,5,M5,50,0,0.0,0.0006449246955576069,0.03224623477788034,0.0,0.0,0.07112173646419764,0.0,110.27913329122129,1.0,1.0,,1.42,,1.0,Insufficient tail sample
Last 50,Exact,5,M6,50,0,0.0,0.0006449246955576069,0.03224623477788034,0.0,0.0,0.07112173646419764,0.0,110.27913329122129,1.0,1.0,,1.26,,1.0,Insufficient tail sample
Last 50,Exact,5,Ensemble,50,0,0.0,0.0006449246955576069,0.03224623477788034,0.0,0.0,0.07112173646419764,0.0,110.27913329122129,1.0,1.0,,1.22,,1.0,Insufficient tail sample
Last 50,Exact,6,M1,50,0,0.0,0.0001289849391115214,0.006449246955576069,0.0,0.0,0.07112173646419764,0.0,551.3956664561065,1.0,1.0,,,1.8,1.0,Insufficient tail sample
