Train End Draw,Target Draw,Training Size,Strategy Version,Config Version,Config Hash,M1 Top6,M1 Hit@4,M1 Hit@5,M1 Hit@6,M2 Top6,M2 Hit@4,M2 Hit@5,M2 Hit@6,M3 Top6,M3 Hit@4,M3 Hit@5,M3 Hit@6,M4 Top6,M4 Hit@4,M4 Hit@5,M4 Hit@6,M5 Top6,M5 Hit@4,M5 Hit@5,M5 Hit@6,M6 Top6,M6 Hit@4,M6 Hit@5,M6 Hit@6,Ensemble Top6,Ensemble Hit@4,Ensemble Hit@5,Ensemble Hit@6,Random Expected Hit@4,Random Expected Hit@5,Random Expected Hit@6
48115,48116,15927,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 20 65 76 74,1,2,3,8 26 27 54 66 34,0,0,1,8 29 44 61 3 65,0,1,1,8 29 39 54 3 12,0,1,1,2 6 12 18 19 21,2,3,4,14 19 24 54 29 59,1,1,1,54 29 49 24 65 20,0,0,0,1.0,1.25,1.5
48116,48117,15928,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 20 76 74 65,0,0,1,8 26 27 34 54 66,1,1,1,3 8 29 34 61 52,0,0,1,8 29 54 61 70 52,0,1,2,2 3 6 7 13 19,0,0,0,14 16 19 24 18 54,0,1,1,54 29 49 34 3 51,0,0,0,1.0,1.25,1.5
48117,48118,15929,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 20 74 76 12 65,2,3,4,8 26 27 34 54 66,0,0,0,8 29 34 70 65 54,1,2,2,3 29 64 70 39 12,2,2,3,10 18 21 25 27 28,1,1,1,14 18 19 20 24 30,3,3,4,29 54 65 49 20 70,2,3,4,1.0,1.25,1.5
48118,48119,15930,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 20 74 76 18 12,1,2,2,27 34 54 66 8 26,1,1,1,3 8 29 65 61 54,1,1,1,29 54 65 70 34 39,1,1,2,2 9 12 14 17 18,0,1,2,14 18 19 20 24 28,1,2,2,29 49 65 70 54 20,1,1,1,1.0,1.25,1.5
48119,48120,15931,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 18 74 76 20 25,1,1,2,27 34 54 66 26 8,0,0,0,8 29 34 70 3 61,0,0,1,14 29 61 70 3 8,2,2,2,1 5 17 18 24 25,1,1,2,14 18 19 20 24 28,1,1,1,29 49 70 54 39 17,0,1,1,1.0,1.25,1.5
48120,48121,15932,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 20 74 76 18 65,1,1,1,26 27 34 39 54 66,0,0,0,8 29 61 65 54 34,1,1,1,3 14 29 70 61 39,3,3,3,1 6 10 12 14 25,0,1,1,14 18 19 44 16 20,2,2,2,29 39 65 20 70 49,1,2,3,1.0,1.25,1.5
48121,48122,15933,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 14 18 65 74 25,0,0,0,17 34 49 54 66 26,0,1,2,8 29 34 70 3 65,1,1,1,3 14 29 34 70 39,0,1,2,14 17 19 23 29 42,0,0,0,14 18 19 48 44 20,0,1,1,29 70 39 65 49 14,2,2,2,1.0,1.25,1.5
48122,48123,15934,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,14 18 65 74 76 2,1,1,1,17 26 34 39 49 54,0,0,0,8 34 65 70 61 3,0,1,1,39 49 61 70 29 14,1,1,2,1 10 24 26 37 39,0,0,0,18 19 48 49 58 59,1,1,2,70 39 29 49 65 24,0,0,0,1.0,1.25,1.5
48123,48124,15935,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,14 56 65 74 2 50,0,0,0,17 27 34 39 54 66,0,0,0,3 8 29 34 70 61,0,0,0,3 34 61 70 29 52,0,0,0,6 11 13 14 20 22,1,2,3,18 44 48 50 49 14,2,2,2,70 39 29 27 65 20,0,0,1,1.0,1.25,1.5
48124,48125,15936,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,14 56 65 74 18 38,0,0,0,27 39 54 66 71 75,2,2,2,8 29 34 65 61 70,1,1,2,3 29 64 70 61 52,2,2,2,1 12 13 15 18 20,1,1,1,20 30 48 50 18 28,2,2,2,70 20 28 65 29 60,1,1,2,1.0,1.25,1.5
48127,48128,15938,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,50 56 70 74 14 18,0,0,0,27 39 54 70 71 66,1,1,1,3 8 29 65 70 39,1,1,2,3 29 34 70 39 61,2,3,3,9 14 15 16 18 23,1,1,1,20 30 50 60 48 28,1,2,2,70 39 60 20 28 17,1,1,1,1.0,1.25,1.5
48128,48129,15939,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,14 18 50 56 38 70,2,2,2,27 39 54 70 71 34,1,2,2,3 8 29 34 39 70,0,1,1,14 29 61 70 8 54,0,0,0,3 7 9 11 13 21,1,1,1,20 30 50 60 48 18,2,3,4,70 39 60 28 34 29,1,1,1,1.0,1.25,1.5
48129,48130,15940,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 48 50 56 38 70,2,2,2,27 39 54 70 71 17,0,0,0,3 8 29 65 34 39,2,2,2,3 54 61 70 14 39,1,1,1,1 6 11 15 16 17,1,1,1,18 20 48 50 28 30,2,2,3,39 70 17 60 65 52,0,1,1,1.0,1.25,1.5
48130,48131,15941,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 48 50 56 72 1,1,1,1,17 27 34 39 54 58,0,0,0,3 8 29 34 61 44,1,1,1,29 39 61 70 54 3,1,1,2,2 6 7 18 19 23,2,2,2,18 20 48 50 28 30,1,1,1,39 70 29 65 60 52,1,2,2,1.0,1.25,1.5
48131,48132,15942,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 47 48 50 70 1,0,0,0,27 34 39 54 66 70,1,2,2,3 8 29 65 39 54,0,0,0,3 8 29 70 65 64,0,0,1,2 3 10 11 13 16,1,2,2,18 20 48 50 30 60,0,0,0,70 39 65 29 60 33,0,0,0,1.0,1.25,1.5
48132,48133,15943,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 47 48 50 70 1,2,2,2,27 34 39 66 70 71,0,0,0,3 8 29 61 70 39,1,1,1,3 29 65 70 12 61,0,0,1,5 9 10 13 19 21,0,0,0,18 20 48 50 30 28,1,2,2,70 39 29 60 65 51,0,0,1,1.0,1.25,1.5
48133,48134,15944,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,1 18 47 50 22 78,2,2,2,27 34 39 70 71 17,1,1,1,29 34 61 70 39 8,0,1,1,3 29 34 70 54 64,0,0,0,16 18 22 25 30 32,1,2,3,18 20 28 48 50 30,3,4,5,70 39 29 61 22 60,1,1,1,1.0,1.25,1.5
48134,48135,15945,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 43 47 50 23 1,2,2,2,27 30 39 71 17 18,1,2,3,3 8 29 70 65 34,1,1,1,29 39 54 70 34 61,0,0,0,7 9 18 19 20 23,1,1,1,18 20 48 50 28 30,2,2,3,39 70 19 28 29 49,0,0,1,1.0,1.25,1.5
48135,48136,15946,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 22 23 30 50 68,1,2,2,18 27 30 39 71 17,1,2,2,8 29 65 70 3 61,3,3,3,3 29 34 70 14 12,2,2,2,2 4 8 17 18 21,2,2,2,18 28 48 50 20 30,3,3,3,39 70 49 50 18 20,3,3,3,1.0,1.25,1.5
48136,48137,15947,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,18 22 50 78 23 58,1,1,2,18 27 29 30 39 71,0,0,0,8 29 34 65 70 39,0,0,0,3 14 39 70 29 34,2,2,2,4 8 22 26 28 29,0,1,1,18 28 48 50 41 20,2,2,2,39 70 29 8 52 50,0,0,1,1.0,1.25,1.5
