Window,Model,Evaluation Count,Mean Hit@4,Median Hit@4,Std Hit@4,Cumulative Hit@4,Lift@4,Mean Hit@5,Median Hit@5,Std Hit@5,Cumulative Hit@5,Lift@5,Mean Hit@6,Median Hit@6,Std Hit@6,Cumulative Hit@6,Lift@6
Last 100,M5,100,1.08,1.0,0.8795453370918408,108,1.08,1.37,1.0,0.9762684057163787,137,1.096,1.61,2.0,1.0382196299434914,161,1.0733333333333335
Last 100,M6,100,0.98,1.0,0.86,98,0.98,1.19,1.0,0.902164064901723,119,0.952,1.51,1.0,1.0343597053249898,151,1.0066666666666666
Last 100,Ensemble,100,0.92,1.0,0.8084553172563095,92,0.92,1.21,1.0,0.9828021163998377,121,0.968,1.5,1.0,0.9539392014169457,150,1.0
Last 100,M7,100,0.96,1.0,0.8114185110040317,96,0.96,1.17,1.0,0.8608716512930368,117,0.9359999999999999,1.39,1.0,0.9153687781435416,139,0.9266666666666666
Last 100,M8,100,1.07,1.0,0.8155366331440912,107,1.07,1.27,1.0,0.9365361712181757,127,1.016,1.54,1.0,0.9941830817309255,154,1.0266666666666666
Last 100,M9,100,1.01,1.0,0.8184741901856158,101,1.01,1.24,1.0,0.8957678270623478,124,0.992,1.46,1.0,1.0432641084595982,146,0.9733333333333333
Last 100,M10,100,0.91,1.0,0.7886063656856948,91,0.91,1.13,1.0,0.8792610533851707,113,0.9039999999999999,1.35,1.0,0.9836157786453001,135,0.9
Last 250,M1,250,0.98,1.0,0.8738420909981391,245,0.98,1.264,1.0,0.9645226798784983,316,1.0112,1.516,1.0,1.0245701537718148,379,1.0106666666666666
Last 250,M2,250,1.04,1.0,0.8475848040166836,260,1.04,1.3,1.0,0.9767292357659824,325,1.04,1.568,1.0,1.0494646254162165,392,1.0453333333333334
Last 250,M3,250,0.992,1.0,0.8049447185987372,248,0.992,1.252,1.0,0.8924662458603126,313,1.0016,1.5,1.0,0.9848857801796105,375,1.0
Last 250,M4-A,250,1.128,1.0,0.8146262946897798,282,1.128,1.34,1.0,0.9123595782365636,335,1.072,1.596,2.0,1.0123161561488585,399,1.064
Last 250,M4-B,250,1.012,1.0,0.8507972731503081,253,1.012,1.268,1.0,0.914426596288625,317,1.0144,1.54,1.0,0.9961927524329817,385,1.0266666666666666
Last 250,M4-C,250,1.128,1.0,0.8146262946897798,282,1.128,1.344,1.0,0.9130520248047205,336,1.0752000000000002,1.6,2.0,1.0119288512538813,400,1.0666666666666667
Last 250,M4-D,250,1.076,1.0,0.7888117646181503,269,1.076,1.344,1.0,0.8863768950057306,336,1.0752000000000002,1.588,2.0,1.0011273645246144,397,1.0586666666666666
Last 250,M4-E,250,1.064,1.0,0.8508254815178022,266,1.064,1.292,1.0,0.9288358304888976,323,1.0336,1.544,2.0,1.008,386,1.0293333333333334
Last 250,M4-F,250,1.036,1.0,0.8501199915306074,259,1.036,1.284,1.0,0.9355982043591149,321,1.0272000000000001,1.524,1.0,0.9926852471957059,381,1.016
Last 250,M5,250,1.004,1.0,0.8024861369519102,251,1.004,1.268,1.0,0.9231337931199356,317,1.0144,1.476,1.0,1.0007117467083115,369,0.984
Last 250,M6,250,0.888,1.0,0.8458463217393571,222,0.888,1.1,1.0,0.9132360045464699,275,0.8800000000000001,1.392,1.0,1.0071424924011496,348,0.9279999999999999
Last 250,Ensemble,250,0.916,1.0,0.8467254572764422,229,0.916,1.192,1.0,0.9854623280470949,298,0.9536,1.444,1.0,1.0034261308138233,361,0.9626666666666667
Last 250,M7,250,0.976,1.0,0.8242717998330406,244,0.976,1.216,1.0,0.943050369810648,304,0.9728,1.46,1.0,1.000199980003999,365,0.9733333333333333
Last 250,M8,250,1.124,1.0,0.8078514714970816,281,1.124,1.348,1.0,0.9224402419669254,337,1.0784,1.604,2.0,1.0194037472954471,401,1.0693333333333335
Last 250,M9,250,1.024,1.0,0.7638219687859207,256,1.024,1.292,1.0,0.9026272763438961,323,1.0336,1.544,2.0,1.0119604735363927,386,1.0293333333333334
Last 250,M10,250,0.896,1.0,0.8131322155713671,224,0.896,1.132,1.0,0.8958660614176653,283,0.9056,1.376,1.0,1.024999512195006,344,0.9173333333333332
